"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1984-Q1","Q1-1984","PER","Persons","3","Thousands",,,2396.4,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1984-Q2","Q2-1984","PER","Persons","3","Thousands",,,2439.927,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1984-Q3","Q3-1984","PER","Persons","3","Thousands",,,2468.298,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1984-Q4","Q4-1984","PER","Persons","3","Thousands",,,2489.563,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1985-Q1","Q1-1985","PER","Persons","3","Thousands",,,2520.834,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1985-Q2","Q2-1985","PER","Persons","3","Thousands",,,2541.736,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1985-Q3","Q3-1985","PER","Persons","3","Thousands",,,2588.871,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1985-Q4","Q4-1985","PER","Persons","3","Thousands",,,2630.654,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1986-Q1","Q1-1986","PER","Persons","3","Thousands",,,2678.078,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1986-Q2","Q2-1986","PER","Persons","3","Thousands",,,2741.123,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1986-Q3","Q3-1986","PER","Persons","3","Thousands",,,2747.887,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1986-Q4","Q4-1986","PER","Persons","3","Thousands",,,2781.329,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1987-Q1","Q1-1987","PER","Persons","3","Thousands",,,2797.601,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1987-Q2","Q2-1987","PER","Persons","3","Thousands",,,2821.452,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1987-Q3","Q3-1987","PER","Persons","3","Thousands",,,2843.903,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1987-Q4","Q4-1987","PER","Persons","3","Thousands",,,2877.547,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1988-Q1","Q1-1988","PER","Persons","3","Thousands",,,2923.915,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1988-Q2","Q2-1988","PER","Persons","3","Thousands",,,2950.822,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1988-Q3","Q3-1988","PER","Persons","3","Thousands",,,2985.291,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1988-Q4","Q4-1988","PER","Persons","3","Thousands",,,3026.063,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1989-Q1","Q1-1989","PER","Persons","3","Thousands",,,3088.481,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1989-Q2","Q2-1989","PER","Persons","3","Thousands",,,3134.611,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1989-Q3","Q3-1989","PER","Persons","3","Thousands",,,3175.146,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1989-Q4","Q4-1989","PER","Persons","3","Thousands",,,3213.15,,
