DATE;LFEMTTTTATQ647S;LFEMTTTTAUQ647S;LFEMTTTTBEQ647S;LFEMTTTTCAQ647S;LFEMTTTTCHQ647S;LFEMTTTTDEQ647S;LFEMTTTTDKQ647S;LFEMTTTTESQ647S;LFEMTTTTFIQ647S;LFEMTTTTFRQ647S;LFEMTTTTGBQ647S;LFEMTTTTGRQ647S;LFEMTTTTIEQ647S;LFEMTTTTISQ647S;LFEMTTTTITQ647S;LFEMTTTTJPQ647S;LFEMTTTTLUQ647S;LFEMTTTTNLQ647S;LFEMTTTTNOQ647S;LFEMTTTTNZQ647S;LFEMTTTTPTQ647S;LFEMTTTTSEQ647S;LFEMTTTTTRQ647S;LFEMTTTTUSQ647S
1977-07-01;2999087,5070000000;6018900,0000000000;;9923233,3333333300;;32328784,486372800;;;;;24809000,000000000;;;;;53550000,0000000;;;;;;;;92409000,0000000
1977-10-01;2987978,8800000000;5984200,0000000000;;9976400,0000000000;;32410855,550457000;;;;;24823000,000000000;;;;;53670000,0000000;;;;;;;;93639333,3333333
1978-01-01;3019865,9210000000;5999063,4540000000;;10052533,3333333000;;32441183,372523600;;;;;24862000,000000000;;;;;53773333,3333333;;;;;;;;94552666,6666667
1978-04-01;2993730,8190000000;6032788,4730000000;;10156166,6666667000;;32506897,278336700;;;;;24897000,000000000;;;;;54180000,0000000;;;;;;;;95835333,3333333
1978-07-01;3028949,3290000000;6032472,8970000000;;10276333,3333333000;;32590465,379959100;;;;;24941000,000000000;;;;;54020000,0000000;;;;;;;;96397000,0000000
1978-10-01;3018264,7000000000;6039215,0310000000;;10391500,0000000000;;32716514,502392600;;;;;25059000,000000000;;;;;54346666,6666667;;;;;;;;97399666,6666667
1979-01-01;3018811,9210000000;6057481,2453333300;;10493533,3333333000;;32855542,737274500;;;;;25113000,000000000;;;;;54536666,6666667;;;;;;;;98252333,3333333
1979-04-01;3051487,9380000000;6078315,2086666700;;10607533,3333333000;;32919741,152170400;;;;;25159000,000000000;;;;;54713333,3333333;;;;;;;;98371000,0000000
1979-07-01;3067725,4380000000;6110006,7930000000;;10731633,3333333000;;33028397,506202600;;;;;25229000,000000000;;;;;54910000,0000000;;;;;;;;99040666,6666667
1979-10-01;3064100,5240000000;6172310,4636666700;;10835333,3333333000;;33200602,803988500;;;;;25280000,000000000;;;;;55030000,0000000;;;;;;;;99637000,0000000
1980-01-01;3080008,8430000000;6220085,9663333300;;10902933,3333333000;;33333902,339802100;;;;;25250000,000000000;;;;;55060000,0000000;;;;;;;;99862333,3333333
1980-04-01;3084786,4430000000;6263417,9920000000;;10927033,3333333000;;33352045,681488100;;;;;25190000,000000000;;;;;55256666,6666667;;;;;;;;98953333,3333333
1980-07-01;3038427,3590000000;6313621,5740000000;;10988466,6666667000;;33338146,778938700;;;;;25050000,000000000;;;;;55613333,3333333;;;;;;;;98899000,0000000
1980-10-01;3078626,2300000000;6329150,2486666700;;11116533,3333333000;;33346446,937679100;;;;;24855000,000000000;;;;;55513333,3333333;;;;;;;;99498666,6666667
1981-01-01;3089058,2090000000;6369005,4163333300;;11252833,3333333000;;33285396,791418900;;;;;24661000,000000000;;;;;55686666,6666667;;;;;;;;100239000,0000000
1981-04-01;3090233,5370000000;6410222,9646666700;;11345866,6666667000;;33151667,500851300;;;;;24495000,000000000;;;;;55710000,0000000;;;;;;;;100800666,6666670
1981-07-01;3093209,6120000000;6437709,8650000000;;11340733,3333333000;;33009684,458354700;;;;;24355000,000000000;;;;;55870000,0000000;;;;;;;;100482000,0000000
1981-10-01;3087456,1450000000;6425770,4290000000;;11276466,6666667000;;32862873,307943100;;;;;24209000,000000000;;;;;56003333,3333333;;;;;;;;100076666,6666670
1982-01-01;3212047,5350000000;6454051,6093333300;;11167500,0000000000;;32713600,300478900;;;;;24120000,000000000;;;;;56176666,6666667;;;;;;;;99708666,6666667
1982-04-01;3183978,1380000000;6436557,6106666700;;11008333,3333333000;;32576559,565461400;;;;;24027000,000000000;;;;;56290000,0000000;;;;;;;;99745000,0000000
1982-07-01;3185367,0820000000;6412658,4656666700;;10839866,6666667000;;32535845,394523800;;;;;23901000,000000000;;;;;56270000,0000000;;;;;;;;99543333,3333333
1982-10-01;3173366,2160000000;6348203,5240000000;;10775233,3333333000;;32328138,522762000;;;;;23755000,000000000;;;;;56806666,6666667;;;;;;;;99119666,6666667
1983-01-01;3152397,1070000000;6280212,1170000000;;10828600,0000000000;;32116832,819435600;;;;;23651000,000000000;;;;;57193333,3333333;;;;;;;;99143000,0000000
