DATE	RKNANPATA666NRUG	RKNANPAUA666NRUG	RKNANPBEA666NRUG	RKNANPCAA666NRUG	RKNANPCHA666NRUG	RKNANPDEA666NRUG	RKNANPDKA666NRUG	RKNANPESA666NRUG	RKNANPFIA666NRUG	RKNANPFRA666NRUG	RKNANPGBA666NRUG	RKNANPGRA666NRUG	RKNANPIEA666NRUG	RKNANPISA666NRUG	RKNANPITA666NRUG	RKNANPJPA666NRUG	RKNANPLUA666NRUG	RKNANPNLA666NRUG	RKNANPNOA666NRUG	RKNANPNZA666NRUG	RKNANPPTA666NRUG	RKNANPSEA666NRUG	RKNANPTRA666NRUG	RKNANPUSA666NRUG
1982-01-01	1372994.62500	2207012.5000	1916840.6250	3124849.5000	1805603.7500	12006718.000	869240.937500	4603711.5000	578365.8750000	9781079.00	7581993.50	1542927.12500	395431.5000000	44961.6718750000	10382647.000	13036598.0000	126962.85156250	2551823.7500	758957.625000	253703.9687500	1310029.750000	1815560.1250	1242781.625000	30400940
1983-01-01	1407546.75000	2267684.7500	1930552.0000	3214400.2500	1838115.1250	12257448.000	882993.875000	4715863.5000	600029.4375000	9990670.00	7706946.00	1592150.25000	408737.7187500	46209.8007812500	10677609.000	13589490.0000	127950.56250000	2590304.2500	784577.687500	261642.4843750	1356477.875000	1846153.0000	1286767.500000	31125586
1984-01-01	1440378.00000	2336902.5000	1946002.3750	3304437.2500	1873603.3750	12494805.000	900249.250000	4810045.5000	620398.5625000	10184452.00	7873744.50	1625669.75000	420432.1562500	47677.4492187500	10986806.000	14149387.0000	128864.60937500	2635844.7500	809393.875000	270240.3125000	1384377.250000	1883552.0000	1329842.750000	32101152
1985-01-01	1477251.37500	2409086.0000	1964501.2500	3409363.0000	1910683.8750	12720738.000	922810.125000	4917296.0000	642031.3125000	10379602.00	8051508.50	1665081.50000	428852.4687500	49122.9648437500	11287572.000	14728837.0000	129215.44531250	2688335.5000	829768.625000	279824.9375000	1409154.250000	1926947.3750	1384582.125000	33160382
1986-01-01	1513918.62500	2475880.0000	1984628.2500	3518892.5000	1954022.8750	12953003.000	953784.687500	5047181.0000	663361.6250000	10585801.00	8227372.50	1703598.75000	436227.5625000	50459.8085937500	11591656.000	15344431.0000	131267.59375000	2746368.7500	852175.437500	288100.4375000	1441602.375000	1967197.2500	1447751.125000	34217172
1987-01-01	1552960.12500	2548968.2500	2008634.6250	3647189.2500	1999309.1250	13184101.000	984131.437500	5204219.0000	686072.8125000	10808423.00	8447579.00	1737059.50000	443263.8125000	52292.3359375000	11910869.000	16036288.0000	134052.92187500	2801597.7500	874332.250000	297123.9062500	1487218.375000	2011055.0000	1569608.375000	35245904
1988-01-01	1597096.12500	2633667.2500	2048397.3750	3794485.2500	2052580.1250	13436262.000	1008411.062500	5393969.0000	712586.6250000	11068552.00	8748914.00	1771933.00000	451805.2187500	54045.5468750000	12260760.000	16849182.0000	137263.78125000	2867687.0000	895105.500000	304938.4375000	1544410.875000	2057247.6250	1681231.375000	36263700
1989-01-01	1643347.25000	2712927.7500	2099508.0000	3948999.5000	2108825.0000	13726373.000	1031966.062500	5613830.5000	743630.3125000	11358360.00	9069434.00	1810462.25000	463119.0625000	55468.3359375000	12620538.000	17704650.0000	140570.57812500	2933603.7500	910626.375000	313153.6875000	1602453.375000	2113330.0000	1791994.500000	37283480
1990-01-01	1692775.87500	2769505.2500	2157778.7500	4084620.5000	2167977.7500	14059705.000	1053218.500000	5844808.5000	770614.1250000	11658940.00	9339200.00	1851127.75000	478377.8437500	56934.5625000000	12990623.000	18591442.0000	143735.34375000	2998869.0000	919708.437500	320055.6875000	1665154.500000	2162853.5000	1927610.750000	38223836
1991-01-01	1748666.62500	2816451.2500	2205424.2500	4201081.0000	2219372.2500	14411917.000	1070920.250000	6068601.5000	786564.0000000	11934366.00	9526774.00	1893632.12500	490179.5000000	58420.4257812500	13347298.000	19460334.0000	147829.01562500	3060622.0000	928953.437500	323293.7812500	1726506.750000	2195131.0000	2054772.750000	38987080
1992-01-01	1801172.12500	2870618.5000	2251609.7500	4303794.0000	2254403.0000	14778004.000	1086429.750000	6262928.0000	795085.8750000	12180696.00	9703619.00	1931227.87500	501598.8125000	59513.8359375000	13670789.000	20222834.0000	150155.92187500	3120303.7500	937639.312500	326834.0000000	1788350.750000	2212373.5000	2187730.750000	39793464
1993-01-01	1849421.00000	2930325.0000	2291659.7500	4398278.0000	2282485.2500	15082446.000	1098585.250000	6412986.0000	797597.4375000	12374120.00	9875275.00	1963707.75000	510910.0937500	60309.3007812500	13882849.000	20855448.0000	153918.07812500	3172311.0000	949440.937500	333123.0000000	1839817.875000	2209749.2500	2370346.750000	40663208
1994-01-01	1901877.50000	3003980.5000	2330652.2500	4505443.0000	2315234.0000	15408579.000	1112868.625000	6565122.0000	800448.6250000	12566521.00	10076868.00	1992078.00000	523865.5312500	61104.3632812500	14091808.000	21421044.0000	157396.01562500	3224362.5000	963843.062500	341906.9687500	1891411.875000	2213558.7500	2494708.000000	41620812
1995-01-01	1951910.12500	3076581.2500	2372699.0000	4601809.0000	2353666.2500	15722324.000	1131588.875000	6739477.0000	808192.8750000	12755865.00	10291874.00	2021978.25000	542016.4375000	61849.3242187500	14340169.000	22009800.0000	159940.45312500	3283017.7500	979528.812500	352296.4687500	1947528.125000	2223535.5000	2633947.750000	42632688
1996-01-01	2004959.00000	3154458.0000	2412939.7500	4706733.0000	2387645.2500	16019278.000	1151481.125000	6914098.0000	819401.9375000	12937552.00	10521039.00	2056954.50000	566026.0625000	63170.4257812500	14593204.000	22656004.0000	162184.43750000	3348776.7500	999665.562500	362874.7812500	2006590.250000	2235832.7500	2800502.250000	43758388
1997-01-01	2055905.75000	3242560.2500	2459296.0000	4836438.0000	2424366.7500	16305674.000	1175369.750000	7099700.5000	834709.6875000	13110579.00	10712724.00	2092135.12500	596145.3125000	64795.9257812500	14844365.000	23215934.0000	165055.65625000	3420301.5000	1027090.937500	373605.9375000	2079382.750000	2246525.0000	2994961.750000	44977188
1998-01-01	2108087.75000	3330681.5000	2504925.5000	4964512.5000	2468843.7500	16609219.000	1200895.375000	7317226.5000	854099.4375000	13309446.00	10944358.00	2143041.00000	631632.3125000	66896.0625000000	15109714.000	23665848.0000	168861.57812500	3497799.7500	1060370.250000	381827.9062500	2163251.000000	2261466.2500	3158580.500000	46345160
1999-01-01	2158021.75000	3426859.5000	2552046.2500	5096083.5000	2511688.5000	16928360.000	1223103.875000	7564063.5000	874376.1250000	13542146.00	11167074.00	2196987.50000	672745.0000000	68667.5078125000	15389343.000	24064152.0000	174026.25000000	3587135.2500	1086803.875000	392490.9375000	2249878.750000	2278235.7500	3266062.000000	47827892
2000-01-01	2211959.75000	3497694.2500	2601961.5000	5232190.0000	2555740.2500	17241402.000	1248519.125000	7831237.5000	896772.6250000	13801956.00	11402752.00	2249798.25000	714328.5000000	70730.2421875000	15706383.000	24436214.0000	179535.12500000	3672651.2500	1108578.750000	401518.0312500	2336813.250000	2297585.2500	3429466.500000	49368264
2001-01-01	2260059.75000	3580112.2500	2649390.5000	5373983.0000	2591129.7500	17504746.000	1271239.750000	8104553.5000	918892.3125000	14057477.00	11630290.00	2304313.00000	757467.0625000	72444.9843750000	16022930.000	24751466.0000	182849.50000000	3753966.5000	1128279.000000	411909.8437500	2419842.750000	2315230.7500	3493476.000000	50734816
2002-01-01	2300148.75000	3681223.0000	2685413.0000	5510506.5000	2623513.5000	17693756.000	1290131.625000	8385983.0000	938143.3750000	14286075.00	11860468.00	2353935.75000	802099.8125000	73522.6093750000	16352395.000	24968428.0000	185569.15625000	3820755.5000	1146404.500000	423515.1562500	2492635.000000	2328260.2500	3602913.000000	51925836
2003-01-01	2342472.00000	3793365.7500	2718060.5000	5659421.0000	2651073.7500	17858990.000	1308499.750000	8690942.0000	958066.6875000	14514070.00	12094840.00	2416310.50000	850418.3125000	74862.3281250000	16655169.000	25157066.0000	190161.20312500	3880233.7500	1163915.500000	438121.7812500	2550467.000000	2341927.7500	3765194.750000	53183996
2004-01-01	2383225.00000	3910282.2500	2761351.0000	5831696.5000	2683957.2500	18013060.000	1328034.125000	9008774.0000	979629.2500000	14754241.00	12326425.00	2478102.00000	904231.5000000	77101.6953125000	16957444.000	25328236.0000	194220.75000000	3936650.5000	1187095.125000	453916.7187500	2605971.750000	2359169.5000	4023995.250000	54572836
2005-01-01	2421749.50000	4038025.5000	2810167.5000	6029150.5000	2719345.7500	18165114.000	1350405.375000	9354393.0000	1002029.4375000	15002390.00	12577713.00	2521139.00000	969754.1875000	80584.2890625000	17257988.000	25517398.0000	200754.73437500	3996148.0000	1217240.750000	470005.3750000	2658914.500000	2379216.2500	4341694.500000	56084492
2006-01-01	2459522.25000	4167987.2500	2858023.5000	6239972.0000	2759447.0000	18365856.000	1381434.000000	9729792.0000	1024142.5000000	15264812.00	12838273.00	2583640.75000	1038852.6875000	85164.7421875000	17565988.000	25687838.0000	204985.01562500	4065973.0000	1252370.125000	484190.1875000	2707930.000000	2406744.0000	4707134.000000	57575292
2007-01-01	2501365.75000	4311797.5000	2914184.5000	6451697.0000	2803673.0000	18579110.000	1410554.875000	10114355.0000	1051595.1250000	15556713.00	13112509.00	2662564.00000	1104379.0000000	88717.0000000000	17871752.000	25812344.0000	210033.64062500	4161991.7500	1295249.375000	499807.2812500	2758138.250000	2441047.0000	5073961.000000	58915288
2008-01-01	2542746.00000	4450216.5000	2969628.2500	6659252.0000	2843588.5000	18787008.000	1435327.125000	10450806.0000	1078018.1250000	15838764.00	13337418.00	2724349.75000	1154723.1250000	90894.7265625000	18130888.000	25871006.0000	216370.21875000	4243511.0000	1336390.375000	511859.5312500	2805466.500000	2471922.7500	5397748.500000	59981816
2009-01-01	2571160.25000	4585472.0000	3010390.7500	6806970.5000	2867854.7500	18897210.000	1447579.375000	10658191.0000	1094931.5000000	16031712.00	13463969.00	2762200.75000	1185782.2500000	90112.7031250000	18289088.000	25807278.0000	219601.10937500	4300422.5000	1368544.625000	520034.1250000	2839267.500000	2483172.7500	5583884.000000	60510764
