PERMNO,DATE,COMNAM,TICKER,PRC,VOL,NUMTRD,RET,RETX
83596,20070920,ELECTRONIC DATA SYS CORP NEW,EDS,21.89000,2094900,,-0.011292,-0.011292
83596,20070921,ELECTRONIC DATA SYS CORP NEW,EDS,21.92000,2242900,,0.001371,0.001371
83596,20070924,ELECTRONIC DATA SYS CORP NEW,EDS,22.03000,2076700,,0.005018,0.005018
83596,20070925,ELECTRONIC DATA SYS CORP NEW,EDS,21.73000,3189800,,-0.013618,-0.013618
83596,20070926,ELECTRONIC DATA SYS CORP NEW,EDS,21.90000,3064300,,0.007823,0.007823
83596,20070927,ELECTRONIC DATA SYS CORP NEW,EDS,21.85000,1673700,,-0.002283,-0.002283
83596,20070928,ELECTRONIC DATA SYS CORP NEW,EDS,21.84000,2518300,,-0.000458,-0.000458
83596,20071001,ELECTRONIC DATA SYS CORP NEW,EDS,22.10000,2705900,,0.011905,0.011905
83596,20071002,ELECTRONIC DATA SYS CORP NEW,EDS,22.32000,2676400,,0.009955,0.009955
83596,20071003,ELECTRONIC DATA SYS CORP NEW,EDS,22.48000,2301000,,0.007168,0.007168
83596,20071004,ELECTRONIC DATA SYS CORP NEW,EDS,22.62000,2516600,,0.006228,0.006228
83596,20071005,ELECTRONIC DATA SYS CORP NEW,EDS,22.67000,3149400,,0.002210,0.002210
83596,20071008,ELECTRONIC DATA SYS CORP NEW,EDS,22.60000,1584500,,-0.003088,-0.003088
83596,20071009,ELECTRONIC DATA SYS CORP NEW,EDS,22.60000,2138700,,0.000000,0.000000
83596,20071010,ELECTRONIC DATA SYS CORP NEW,EDS,23.20000,5229800,,0.026549,0.026549
83596,20071011,ELECTRONIC DATA SYS CORP NEW,EDS,22.76000,3219100,,-0.018966,-0.018966
83596,20071012,ELECTRONIC DATA SYS CORP NEW,EDS,23.24000,2846759,,0.021090,0.021090
83596,20071015,ELECTRONIC DATA SYS CORP NEW,EDS,22.88000,2132000,,-0.015491,-0.015491
83596,20071016,ELECTRONIC DATA SYS CORP NEW,EDS,22.71000,2799400,,-0.007430,-0.007430
83596,20071017,ELECTRONIC DATA SYS CORP NEW,EDS,22.66000,3487100,,-0.002202,-0.002202
83596,20071018,ELECTRONIC DATA SYS CORP NEW,EDS,22.68000,1798500,,0.000883,0.000883
83596,20071019,ELECTRONIC DATA SYS CORP NEW,EDS,22.05000,3833132,,-0.027778,-0.027778
83596,20071022,ELECTRONIC DATA SYS CORP NEW,EDS,21.38000,5309200,,-0.030385,-0.030385
83596,20071023,ELECTRONIC DATA SYS CORP NEW,EDS,21.21000,3395900,,-0.007951,-0.007951
83596,20071024,ELECTRONIC DATA SYS CORP NEW,EDS,21.31000,3997600,,0.004715,0.004715
83596,20071025,ELECTRONIC DATA SYS CORP NEW,EDS,21.33000,3654800,,0.000939,0.000939
83596,20071026,ELECTRONIC DATA SYS CORP NEW,EDS,21.20000,2410600,,-0.006095,-0.006095
83596,20071029,ELECTRONIC DATA SYS CORP NEW,EDS,21.25000,2423900,,0.002358,0.002358
83596,20071030,ELECTRONIC DATA SYS CORP NEW,EDS,21.26000,2146500,,0.000471,0.000471
83596,20071031,ELECTRONIC DATA SYS CORP NEW,EDS,21.59000,2587600,,0.015522,0.015522
83596,20071101,ELECTRONIC DATA SYS CORP NEW,EDS,20.98000,3921400,,-0.028254,-0.028254
83596,20071102,ELECTRONIC DATA SYS CORP NEW,EDS,21.22000,6374600,,0.011439,0.011439
83596,20071105,ELECTRONIC DATA SYS CORP NEW,EDS,21.15000,3465925,,-0.003299,-0.003299
83596,20071106,ELECTRONIC DATA SYS CORP NEW,EDS,21.10000,3405800,,-0.002364,-0.002364
83596,20071107,ELECTRONIC DATA SYS CORP NEW,EDS,20.49000,3967700,,-0.028910,-0.028910
83596,20071108,ELECTRONIC DATA SYS CORP NEW,EDS,20.31000,5078796,,-0.008785,-0.008785
83596,20071109,ELECTRONIC DATA SYS CORP NEW,EDS,20.09000,4030758,,-0.010832,-0.010832
83596,20071112,ELECTRONIC DATA SYS CORP NEW,EDS,20.11000,2912775,,0.000996,0.000996
83596,20071113,ELECTRONIC DATA SYS CORP NEW,EDS,20.33000,4037006,,0.013426,0.010940
83596,20071114,ELECTRONIC DATA SYS CORP NEW,EDS,20.08000,2532385,,-0.012297,-0.012297
83596,20071115,ELECTRONIC DATA SYS CORP NEW,EDS,19.93000,5017901,,-0.007470,-0.007470
83596,20071116,ELECTRONIC DATA SYS CORP NEW,EDS,19.75000,4124300,,-0.009032,-0.009032
83596,20071119,ELECTRONIC DATA SYS CORP NEW,EDS,20.25000,7228550,,0.025316,0.025316
83596,20071120,ELECTRONIC DATA SYS CORP NEW,EDS,19.37000,5312700,,-0.043457,-0.043457
83596,20071121,ELECTRONIC DATA SYS CORP NEW,EDS,20.06000,6577951,,0.035622,0.035622
83596,20071123,ELECTRONIC DATA SYS CORP NEW,EDS,20.53000,2968601,,0.023430,0.023430
83596,20071126,ELECTRONIC DATA SYS CORP NEW,EDS,19.86000,3269457,,-0.032635,-0.032635
83596,20071127,ELECTRONIC DATA SYS CORP NEW,EDS,19.88000,3260596,,0.001007,0.001007
83596,20071128,ELECTRONIC DATA SYS CORP NEW,EDS,20.37000,2653652,,0.024648,0.024648
83596,20071129,ELECTRONIC DATA SYS CORP NEW,EDS,20.36000,2347416,,-0.000491,-0.000491
83596,20071130,ELECTRONIC DATA SYS CORP NEW,EDS,20.26000,3518320,,-0.004912,-0.004912
83596,20071203,ELECTRONIC DATA SYS CORP NEW,EDS,19.97000,2606000,,-0.014314,-0.014314
83596,20071204,ELECTRONIC DATA SYS CORP NEW,EDS,19.89000,3469400,,-0.004006,-0.004006
83596,20071205,ELECTRONIC DATA SYS CORP NEW,EDS,21.38000,6129800,,0.074912,0.074912
83596,20071206,ELECTRONIC DATA SYS CORP NEW,EDS,21.06000,3505800,,-0.014967,-0.014967
83596,20071207,ELECTRONIC DATA SYS CORP NEW,EDS,21.62000,2590500,,0.026591,0.026591
83596,20071210,ELECTRONIC DATA SYS CORP NEW,EDS,21.93000,4909900,,0.014339,0.014339
83596,20071211,ELECTRONIC DATA SYS CORP NEW,EDS,21.70000,6894900,,-0.010488,-0.010488
83596,20071212,ELECTRONIC DATA SYS CORP NEW,EDS,21.68000,5784800,,-0.000922,-0.000922
83596,20071213,ELECTRONIC DATA SYS CORP NEW,EDS,21.59000,2688000,,-0.004151,-0.004151
83596,20071214,ELECTRONIC DATA SYS CORP NEW,EDS,21.59000,3646600,,0.000000,0.000000
83596,20071217,ELECTRONIC DATA SYS CORP NEW,EDS,21.00000,3971100,,-0.027327,-0.027327
83596,20071218,ELECTRONIC DATA SYS CORP NEW,EDS,20.76000,3531000,,-0.011429,-0.011429
83596,20071219,ELECTRONIC DATA SYS CORP NEW,EDS,20.54000,2803200,,-0.010597,-0.010597
83596,20071220,ELECTRONIC DATA SYS CORP NEW,EDS,20.79000,2131100,,0.012171,0.012171
83596,20071221,ELECTRONIC DATA SYS CORP NEW,EDS,21.17000,4090200,,0.018278,0.018278
83596,20071224,ELECTRONIC DATA SYS CORP NEW,EDS,21.46000,846400,,0.013699,0.013699
83596,20071226,ELECTRONIC DATA SYS CORP NEW,EDS,21.37000,1698800,,-0.004194,-0.004194
83596,20071227,ELECTRONIC DATA SYS CORP NEW,EDS,20.97000,1991400,,-0.018718,-0.018718
83596,20071228,ELECTRONIC DATA SYS CORP NEW,EDS,20.94000,1549000,,-0.001431,-0.001431
83596,20071231,ELECTRONIC DATA SYS CORP NEW,EDS,20.73000,1810100,,-0.010029,-0.010029
83596,20080102,ELECTRONIC DATA SYS CORP NEW,EDS,19.93000,3855800,,-0.038591,-0.038591
83596,20080103,ELECTRONIC DATA SYS CORP NEW,EDS,20.12000,3324500,,0.009533,0.009533
83596,20080104,ELECTRONIC DATA SYS CORP NEW,EDS,19.53000,3410700,,-0.029324,-0.029324
83596,20080107,ELECTRONIC DATA SYS CORP NEW,EDS,19.27000,4945800,,-0.013313,-0.013313
83596,20080108,ELECTRONIC DATA SYS CORP NEW,EDS,18.98000,4542500,,-0.015049,-0.015049
83596,20080109,ELECTRONIC DATA SYS CORP NEW,EDS,18.50000,5385100,,-0.025290,-0.025290
83596,20080110,ELECTRONIC DATA SYS CORP NEW,EDS,18.39000,5501300,,-0.005946,-0.005946
83596,20080111,ELECTRONIC DATA SYS CORP NEW,EDS,18.17000,2751200,,-0.011963,-0.011963
83596,20080114,ELECTRONIC DATA SYS CORP NEW,EDS,18.40000,3900100,,0.012658,0.012658
